museum_reference,interpretation,countTermsDetected,terms,issues,sources,GenAIinterpretation,genAIcountTermsDetected,genAIterms,genAIissues,genAIsources
A.1911.397.159,"Across Australia's Northern Territory, Aboriginal women still make string bags to carry food and fish. The bags are lined with feathers or animal fur to stop food falling out through the holes. When making string bags, women sit on the ground and use their outstretched legs as a frame.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']","Woven from plant fibres, this Australian Aboriginal dilly-bag reflects skill passed through generations. Used to gather and carry food, it embodies deep connections to land and community in Queensland. Notice the open weave—strong yet flexible, it speaks to daily life, resourcefulness, and sustainable practices of its makers. How might this humble bag shape your understanding of life in 19th–20th century Australia?",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
V.2008.25,"Colourful coiled baskets are popular tourist items, available in many shops and galleries of Aboriginal art. Natural dyes are used to create bright purples, pinks, yellows and reds. The baskets are created by coiling bunches of fibre strands and are expanded and shaped upwards as the work proceeds.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']","Woven by Alison (Milyika) Carroll in 2007, this basket’s black, red, and yellow bands honour the colours of the Australian Aboriginal flag. Carroll’s work draws on Pitjantjatjara tradition, each coil crafted from local plant fibre. Such baskets are not just practical objects—they carry the stories, knowledge, and resilience of Aboriginal communities, inviting us to reflect on cultural identity and continuity across generations.",2,"['Aboriginal', 'Aboriginal']","['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.', '‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.', 'Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
A.1898.403,"In Aboriginal culture, the fibre cord is the most important part of a necklace. It symbolizes the connections between people. Necklaces are worn by men and woman in ceremonies. Shell necklaces are valuable and traded inland across Australia. Great effort and skill went into collecting, cleaning, drilling and threading these tiny shells.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']","This delicate necklace, made from pearl shell oblongs strung on cordage, connects us to the Aboriginal peoples of Cape York Peninsula, Queensland. Crafted in the 19th century, each shimmering bead reflects the natural resources and artistry of its maker. Such adornments not only served as personal decoration but also carried social and cultural meaning within communities. As you look closely, imagine the hands that shaped these shells, linking a tradition that endures through generations.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
V.2009.125,"From his teens, Kaizawa Kōichi (born 1946) was interested in Ainu crafts, making them himself. In 1997, as a plaintiff in the trial concerning the construction of a dam in Nibutani, he won a ruling that the dam was illegal. This ruling was the first time that the Ainu were publicly acknowledged as an indigenous people.",1,['Indigenous'],"['Originally applied to plants and animals, in recent decades it has become a legal term for people who have been colonised by Europe. It refers to specific groups who identify with a place as their original homeland, have deep-rooted traditions there, and who have been displaced from their land by colonisation, often resulting in (cultural) genocide. The term is now seen as empowering, partly due to the UN Declaration on the Rights of Indigenous Peoples (2007), but it is broad and should be used carefully when referring to specific groups.']","['Andrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/117.\nTropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 117. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.']","Carefully carved by Kaizawa Kōichi in 2000, this wooden bowl reflects the rich traditions of the Ainu people of Hokkaido. Its oval form and gracefully pointed ends recall the natural world so central to Ainu life. Imagine the hands that shaped it and those that use it—each meal connecting past and present through craft and daily ritual.",0,No issues detected,No issues detected,No issues detected
A.1961.500,"When Europeans first installed telegraph cables across Australia, they placed broken glass at the bottom of the poles to stop Aboriginal people from stealing porcelain used in the insulators. Aboriginal groups responded by taking the broken glass and adapting it to make ultra-sharp spearheads.",2,"['Aboriginal', 'Aboriginal']","['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.', '‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.', 'Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']","This spear-head, crafted by an Aboriginal maker in Australia’s Northern Territory during the 20th century, is shaped from opaque white bottle glass. The use of glass—a material repurposed from European goods—shows the resourcefulness and adaptability of Aboriginal artisans. Its leaf-like shape and serrated edges echo traditional stone tools, connecting past skills with new materials. Consider how this object tells a story of cultural continuity in the face of change, and imagine the hands that transformed discarded glass into a tool for hunting or ceremony.",2,"['Aboriginal', 'Aboriginal']","['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.', '‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.', 'Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
A.1893.450,"Iron objects were among the earliest items traded between Europeans and Aboriginal groups. This knife is made from hoop iron, used to bind barrels.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']","This 19th-century knife from Queensland, Australia, crafted by Aboriginal makers, tells a story of ingenuity and adaptation. Fashioned from hoop iron, secured with resin and cordage, it reveals how communities skillfully repurposed colonial materials. Such tools were vital in daily life, connecting generations through shared practice and resourcefulness. Look closely—every mark hints at hands that shaped, sharpened, and used this blade, blending traditions with resilience in a changing world.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
A.1989.14,"Aboriginal dot paintings contain patterns and symbols that can be understood by those familiar with Dreaming stories. Here, Raylene Biscoe Nungala has painted a story that relates to emu and dingo ancestors. It is easy to spot the paw prints left by the dingo and the arrow-shaped emu tracks in the centre of the painting. Other designs are less obvious - the 'U' shapes are hunters and next to them are their spears, boomerangs and shields.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']","Painted by Raylene Biscoe Nungala of the Anmatyerre people in 1988, ""Emu and Dingo Dreaming"" embodies sacred Aboriginal Dreaming stories. Concentric circles and intricate dot patterns represent ancestral journeys and connections to land. The emu and dingo are woven into the Anmatyerre landscape, reflecting traditional knowledge, kinship, and enduring relationships with Country. Let your own story meet theirs, looking closely at the patterns that carry generations of meaning.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
A.1982.77,"Aboriginal people have been producing paintings on bark for thousands of years. In this image a kangaroo is being hunted by a mimi or spirit figure. Mimi are very thin and slight and live inside rock crevices. The kangaroo is much larger than the mimi to emphasize that it is the main subject of the painting. The kangaroo's body is divided into sections, each filled with designs similar to those painted on people's bodies in ceremonies.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']","Bobby Barrdjaray Nganjmirra’s 1980 bark painting captures an ancient Gunwinggu story: a Mimi spirit hunting a kangaroo. Painted in natural ochres, the work celebrates the enduring relationship between people, land, and ancestral beings. The Mimi, slender and elusive, are said to have taught Indigenous Australians the art of painting and hunting. Notice the delicate patterns—each line tells of connection, survival, and deep respect for Country.",0,No issues detected,No issues detected,No issues detected
V.2013.27,"Danie Mellor is of Aboriginal and European heritage, including Scottish. This piece is in the form of a shield from the Atherton Tablelands in Queensland. Crafted from reclaimed metal, the ridges and studs on the surface reflect clan and kinship markings painted onto wooden shields, which are carved, decorated and used by initiated men. In the Atherton Tablelands shields possess feminine qualities, so this piece makes connections with Mellor's matrilineal heritage.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']","This sculpture by Danie Mellor transforms the metal skin of a European trunk into a Queensland shield, blending histories of travel, protection, and survival. “In Dreams the Heart” invites reflection on journeys and encounters between cultures, encouraging us to consider the shield not just as an object of defense, but as a vessel for memory and meaning. What stories might this shield hold, and how do they echo in our own hearts and dreams?",0,No issues detected,No issues detected,No issues detected
V.2024.114,"This artwork draws on Judy Watson's Waanyi and European heritage, including Scottish. The background is coloured using earth from Woorabinda, an Aboriginal settlement where some of Watson's ancestors were forcibly relocated. The artwork overlays images of standing stones in Orkney, an Aboriginal axe head held in a UK museum and leaves of a medicinal gumbi gumbi plant to show the artist's layered experiences of land and culture.",2,"['Aboriginal', 'Aboriginal']","['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.', '‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.', 'Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']","Judy Watson, a Waanyi artist, weaves earth, memory, and culture in this mixed media work. ""Standing Stones, Gumbi Gumbi, Stone Tool"" evokes ancestral connections through ochre-toned textures, native plant forms, and the silhouette of a stone tool. The piece reflects Indigenous histories of place, healing, and resilience, inviting viewers to consider the enduring relationship between people, land, and tradition. How might these elements speak to your own sense of connection or belonging?",1,['Native'],"['The term derives from the Latin word natus and was historically used to describe people born in a particular place. It has been criticized for reinforcing colonial hierarchies, where natives were seen as inferior to the colonizers, and (contradictorily) for implying an exclusionary racial or ethnic right to a place by a specific group. Today, some groups, such as Native Americans, use the term in political claims for sovereignty. In Europe, this concept is increasingly employed in xenophobic politics.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 128. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/128.']"
A.UC.706,Throwing the weet weet was a popular game among Aboriginal children. Competitions were held to test the skill of participants. Practising how far and how accurately they could throw a weet weet was invaluable preparation for hunting.,1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']","This weet weet, crafted by the Kulin people of Victoria in the 19th century, is more than a toy. Its expertly balanced wooden head and sinew-bound handle reveal skilled craftsmanship. Traditionally, children used weet weets to develop accuracy and coordination—skills essential for hunting and daily life. Imagine the buzz of youthful games, each throw connecting new generations to country and culture.",0,No issues detected,No issues detected,No issues detected
A.1964.448,This expandable bark belt would have belonged to an initiated man. Aboriginal children are initiated between the ages of ten and sixteen - when they have proven themselves ready for the responsibilities of adulthood.,1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']","This bark belt, decorated with red pigment and intricate white cross-hatching, was crafted by Aboriginal people of North West Australia in the 19th or 20th century. The geometric patterns reflect deep cultural knowledge and traditional stories. Worn close to the body, such belts are both practical and symbolic—connecting generations and carrying the memory of ancestors in each mark. What stories do you see in these patterns?",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
